t,row,variable,horizon,scalar_baseline,scalar_refit,omitted_baseline,omitted_refit
-0.09,36,output,15,-0.0042832684,-0.0042574964,0.00074509389,0.00073700321
-0.09,37,output,16,-0.0021508133,-0.0021599745,0.00058192958,0.00057972346
-0.09,38,output,17,-0.00037309978,-0.00041015802,0.00043763139,0.00044158065
-0.09,39,output,18,0.0010805392,0.0010263861,0.00031191919,0.00032173865
-0.09,40,output,19,0.0022428202,0.0021843503,0.00020391676,0.00021894376
-0.08,1,inflation,0,-0.0008442299,-0.00086526752,-7.0900717e-05,-6.3346813e-05
-0.08,2,inflation,1,-0.0019102688,-0.0019267476,-0.00012318802,-0.00011517489
-0.08,3,inflation,2,-0.0031034176,-0.0031079732,-0.00013942865,-0.00013898196
-0.08,4,inflation,3,-0.0043365062,-0.0043306217,-0.0001187518,-0.00013051993
-0.08,5,inflation,4,-0.0055338272,-0.005521906,-6.9516213e-05,-9.3861916e-05
-0.08,6,inflation,5,-0.0066310789,-0.0066178288,-1.1739661e-06,-3.6022131e-05
-0.08,7,inflation,6,-0.0075767448,-0.0075659592,7.7118324e-05,3.4988624e-05
-0.08,8,inflation,7,-0.0083330029,-0.0083272233,0.00015748857,0.00011151605
-0.08,9,inflation,8,-0.0088769461,-0.0088772918,0.00023414463,0.0001872809
-0.08,10,inflation,9,-0.0092027032,-0.0092078737,0.00030336928,0.00025771569
-0.08,11,inflation,10,-0.0093163745,-0.0093233611,0.00036295835,0.00031976806
-0.08,12,inflation,11,-0.0092319883,-0.009237301,0.00041178829,0.00037162548
-0.08,13,inflation,12,-0.0089685645,-0.0089693722,0.00044950314,0.0004124461
-0.08,14,inflation,13,-0.0085479763,-0.008542922,0.00047628567,0.00044211782
-0.08,15,inflation,14,-0.007993395,-0.0079830364,0.00049268831,0.00046105393
-0.08,16,inflation,15,-0.0073281654,-0.0073150832,0.00049950771,0.00047002623
-0.08,17,inflation,16,-0.0065750039,-0.0065636532,0.00049769106,0.0004700327
-0.08,18,inflation,17,-0.0057554396,-0.0057518276,0.00048826633,0.00046219534
-0.08,19,inflation,18,-0.0048894397,-0.0049007044,0.00047229037,0.00044768333
-0.08,20,inflation,19,-0.0039951758,-0.0040291255,0.00045081075,0.00042765683
-0.08,21,output,0,-0.011924095,-0.011688832,-0.002990562,-0.0040319384
-0.08,22,output,1,-0.021817975,-0.021751911,-0.0031494766,-0.0042998096
-0.08,23,output,2,-0.02884192,-0.028862794,-0.0021418896,-0.0030693627
-0.08,24,output,3,-0.033280443,-0.03331859,-0.00075944077,-0.0013373372
-0.08,25,output,4,-0.035583364,-0.035665032,0.00035974867,2.4741915e-05
-0.08,26,output,5,-0.036023415,-0.036170706,0.0011905305,0.0010248334
-0.08,27,output,6,-0.034889547,-0.035120064,0.0017223372,0.0016661072
-0.08,28,output,7,-0.032433024,-0.032722341,0.0019700106,0.0019657923
-0.08,29,output,8,-0.028854089,-0.029049371,0.0020028293,0.0020099887
-0.08,30,output,9,-0.024796581,-0.024872383,0.0019082912,0.001911023
-0.08,31,output,10,-0.020660446,-0.020643222,0.0017430027,0.0017376444
-0.08,32,output,11,-0.016686373,-0.016616425,0.0015432786,0.0015314378
-0.08,33,output,12,-0.013011414,-0.012925438,0.001332094,0.0013170906
-0.08,34,output,13,-0.0097056109,-0.0096301617,0.0011236568,0.0011088157
-0.08,35,output,14,-0.0067961447,-0.0067465594,0.00092642367,0.00091436841
-0.08,36,output,15,-0.0042832684,-0.0042650475,0.00074509389,0.0007375568
-0.08,37,output,16,-0.0021508133,-0.0021618619,0.00058192958,0.00057980731
-0.08,38,output,17,-0.00037309978,-0.00040603842,0.00043763139,0.00044113863
-0.08,39,output,18,0.0010805392,0.0010363462,0.00031191919,0.000320765
-0.08,40,output,19,0.0022428202,0.0021996384,0.00020391676,0.00021746769
-0.07,1,inflation,0,-0.0008442299,-0.00086442194,-7.0900717e-05,-6.1508425e-05
-0.07,2,inflation,1,-0.0019102688,-0.0019261614,-0.00012318802,-0.00011122069
-0.07,3,inflation,2,-0.0031034176,-0.0031079691,-0.00013942865,-0.00013289818
-0.07,4,inflation,3,-0.0043365062,-0.0043311212,-0.0001187518,-0.00012257024
-0.07,5,inflation,4,-0.0055338272,-0.0055226733,-6.9516213e-05,-8.4476501e-05
-0.07,6,inflation,5,-0.0066310789,-0.0066186138,-1.1739661e-06,-2.5681543e-05
-0.07,7,inflation,6,-0.0075767448,-0.0075665823,7.7118324e-05,4.5834373e-05
-0.07,8,inflation,7,-0.0083330029,-0.008327623,0.00015748857,0.00012249171
-0.07,9,inflation,8,-0.0088769461,-0.0088775346,0.00023414463,0.00019810202
-0.07,10,inflation,9,-0.0092027032,-0.0092081152,0.00030336928,0.0002681846
-0.07,11,inflation,10,-0.0093163745,-0.0093237772,0.00036295835,0.00032975868
-0.07,12,inflation,11,-0.0092319883,-0.009238019,0.00041178829,0.00038106525
-0.07,13,inflation,12,-0.0089685645,-0.0089704229,0.00044950314,0.00042129957
