t,start,end,angle,span_years
2024.916667,2016.666667,2024.916667,96.668739,8.250000
2025.166667,2016.916667,2025.166667,97.717043,8.250000
2025.416667,2017.083333,2025.416667,97.431610,8.333333
2025.500000,2017.166667,2025.500000,97.132416,8.333333
2025.666667,2017.333333,2025.666667,96.811025,8.333333
2025.750000,2017.416667,2025.750000,94.739704,8.333333
2025.916667,2017.500000,2025.916667,95.696903,8.416667
2026.166667,2017.666667,2026.166667,95.409655,8.500000
2026.250000,2017.916667,2026.250000,95.035621,8.333333
2026.416667,2018.166667,2026.416667,94.097858,8.250000
2026.500000,2018.916667,2026.500000,91.716149,7.583333
